data

tradedate;tradetime;secid;metric;value;reference;SYSTIME
2024-05-10;18:40:00;SBER;hhi_agressive;101;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_agressive_buy;137;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_agressive_sell;270;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_buy;164;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_netflow_buy;175;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_netflow_sell;184;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_passive;307;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_passive_buy;544;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_passive_sell;300;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_sell;175;;2024-05-10 18:45:01
2024-05-10;18:40:00;SBER;hhi_volume;120;;2024-05-10 18:45:01


