data

tradedate;tradetime;secid;pr_open;pr_high;pr_low;pr_close;pr_std;vol;val;trades;pr_vwap;pr_change;trades_b;trades_s;val_b;val_s;vol_b;vol_s;disb;pr_vwap_b;pr_vwap_s;SYSTIME
2024-05-17;10:05:00;SBER;322.95;322.95;322.21;322.65;0.0001;94541;304928239;1948;322.54;-0.0929;727;1221;92279801;212648438;28605;65936;-0.39;322.6;322.51;2024-05-17 10:05:12
2024-05-17;10:10:00;SBER;322.63;322.68;322.39;322.51;0.0001;30232;97499191;662;322.5;-0.0372;276;386;31223115;66276077;9681;20551;-0.36;322.52;322.5;2024-05-17 10:10:12
2024-05-17;10:15:00;SBER;322.51;322.52;321.73;321.89;0;74693;240583713;1238;322.1;-0.1922;357;881;50082715;190500998;15546;59147;-0.58;322.16;322.08;2024-05-17 10:15:11
2024-05-17;10:20:00;SBER;321.86;321.98;321.7;321.91;0;43954;141438245;1116;321.79;0.0155;663;453;64129438;77308807;19927;24027;-0.09;321.82;321.76;2024-05-17 10:20:11
2024-05-17;10:25:00;SBER;321.95;321.95;321.79;321.79;0;25927;83449555;589;321.86;-0.0497;293;296;29999181;53450374;9320;16607;-0.28;321.88;321.85;2024-05-17 10:25:12
2024-05-17;10:30:00;SBER;321.8;321.86;321.73;321.82;0;25725;82784702;513;321.81;0.0062;269;244;34570408;48214294;10742;14983;-0.16;321.82;321.79;2024-05-17 10:30:12
2024-05-17;10:35:00;SBER;321.82;321.82;321.71;321.79;0;14825;47696710;431;321.73;-0.0093;201;230;20157230;27539480;6265;8560;-0.15;321.74;321.72;2024-05-17 10:35:11
2024-05-17;10:40:00;SBER;321.79;321.89;321.75;321.89;0;16918;54439453;350;321.78;0.0311;237;113;38525124;15914328;11972;4946;0.42;321.79;321.76;2024-05-17 10:40:11
2024-05-17;10:45:00;SBER;321.88;322.3;321.87;322.17;0;48832;157280847;868;322.09;0.0901;615;253;109294805;47986042;33936;14896;0.39;322.06;322.14;2024-05-17 10:45:12
2024-05-17;10:50:00;SBER;322.13;322.18;321.72;321.8;0;25663;82599449;560;321.86;-0.1024;168;392;14228814;68370635;4420;21243;-0.66;321.92;321.85;2024-05-17 10:50:12
2024-05-17;10:55:00;SBER;321.8;321.89;321.71;321.89;0;20328;65402947;474;321.74;0.028;199;275;19220151;46182796;5973;14355;-0.41;321.78;321.72;2024-05-17 10:55:13
2024-05-17;11:00:00;SBER;321.86;321.99;321.74;321.77;0;23837;76713840;513;321.83;-0.028;268;245;33127152;43586688;10292;13545;-0.14;321.87;321.79;2024-05-17 11:00:12
2024-05-17;11:05:00;SBER;321.77;321.92;321.75;321.78;0;15728;50616418;324;321.82;0.0031;170;154;30341195;20275224;9427;6301;0.2;321.85;321.78;2024-05-17 11:05:11
2024-05-17;11:10:00;SBER;321.78;321.79;321.71;321.71;0;16542;53222482;451;321.74;-0.0218;137;314;7494006;45728476;2329;14213;-0.72;321.77;321.74;2024-05-17 11:10:12
